Species_pee,Bark,Ser,Grass,Resprout,Pyrophilic,More
Abies_alba,no,no,no,no,no,no
Abies_amabilis,no,no,no,no,no,no
Abies_balsamea,no,no,no,no,no,no
Abies_beshanzuensis,no,no,no,no,no,no
Abies_bifolia,no,no,no,no,no,no
Abies_borisii_regis,no,no,no,no,no,no
Abies_bracteata,no,no,no,no,no,no
Abies_cephalonica,no,no,no,no,no,no
Abies_chengii,no,no,no,no,no,no
Abies_chensiensis,no,no,no,no,no,no
Abies_cilicica,no,no,no,no,no,no
Abies_concolor,no,no,no,no,no,no
Abies_delavayi,no,no,no,no,no,no
Abies_densa,no,no,no,no,no,no
Abies_durangensis,no,no,no,no,no,no
Abies_ernestii,no,no,no,no,no,no
Abies_fabri,no,no,no,no,no,no
Abies_fanjingshanensis,no,no,no,no,no,no
Abies_fansipanensis,no,no,no,no,no,no
Abies_fargesii,no,no,no,no,no,no
Abies_ferreana,no,no,no,no,no,no
Abies_firma,no,no,no,no,no,no
Abies_flinckii,no,no,no,no,no,no
Abies_forrestii,no,no,no,no,no,no
Abies_fraseri,no,no,no,no,no,no
Abies_georgei,no,no,no,no,no,no
Abies_grandis,no,no,no,no,no,no
Abies_guatemalensis,no,no,no,no,no,no
Abies_hickelii,no,no,no,no,no,no
Abies_hidalgensis,no,no,no,no,no,no
Abies_holophylla,no,no,no,no,no,no
Abies_homolepis,no,no,no,no,no,no
Abies_kawakamii,no,no,no,no,no,no
Abies_koreana,no,no,no,no,no,no
Abies_lasiocarpa,no,no,no,no,no,no
Abies_magnifica,yes,no,no,no,yes,no
Abies_mariesii,no,no,no,no,no,no
Abies_nebrodensis,no,no,no,no,no,no
Abies_nephrolepis,no,no,no,no,no,no
Abies_nordmanniana,no,no,no,no,no,no
Abies_nukiangensis,no,no,no,no,no,no
Abies_numidica,no,no,no,no,no,no
Abies_pindrow,no,no,no,no,no,no
Abies_pinsapo,no,no,no,no,no,no
Abies_procera,no,no,no,no,no,no
Abies_recurvata,no,no,no,no,no,no
Abies_religiosa,no,no,no,no,no,no
Abies_sachalinensis,no,no,no,no,no,no
Abies_sibirica,no,no,no,no,no,no
Abies_spectabilis,no,no,no,no,no,no
Abies_squamata,no,no,no,no,no,no
Abies_veitchii,no,no,no,no,no,no
Abies_vejarii,no,no,no,no,no,no
Abies_yuanbaoshanensis,no,no,no,no,no,no
Abies_ziyuanensis,no,no,no,no,no,no
Acmopyle_pancheri,no,no,no,no,no,no
Acmopyle_sahniana,no,no,no,no,no,no
Actinostrobus_acuminatus,no,yes,no,yes,yes,yes
Actinostrobus_arenarius,no,yes,no,no,yes,no
Actinostrobus_pyramidalis,no,yes,no,no,yes,no
Afrocarpus_dawei,no,no,no,no,no,no
Afrocarpus_falcatus,no,no,no,no,no,no
Afrocarpus_gracilior,no,no,no,no,no,no
Afrocarpus_mannii,no,no,no,no,no,no
Afrocarpus_usambarensis,no,no,no,no,no,no
Agathis_atropurpurea,no,no,no,no,no,no
Agathis_australis,no,no,no,no,no,no
Agathis_borneensis,no,no,no,no,no,no
Agathis_corbassonii,no,no,no,no,no,no
Agathis_dammara,no,no,no,no,no,no
Agathis_labillardierei,no,no,no,no,no,no
Agathis_lanceolata,no,no,no,no,no,no
Agathis_macrophylla,no,no,no,no,no,no
Agathis_microstachya,no,no,no,no,no,no
Agathis_montana,no,no,no,no,no,no
Agathis_moorei,no,no,no,no,no,no
Agathis_ovata,yes,no,no,no,yes,no
Agathis_philippinensis,no,no,no,no,no,no
Agathis_robusta,no,no,no,no,no,no
Agathis_silbae,no,no,no,no,no,no
Agathis_vitiensis,no,no,no,no,no,no
Amentotaxus_argotaenia,no,no,no,no,no,no
Amentotaxus_formosana,no,no,no,no,no,no
Amentotaxus_poilanei,no,no,no,no,no,no
Amentotaxus_yunnanensis,no,no,no,no,no,no
Araucaria_angustifolia,yes,no,no,no,yes,no
Araucaria_araucana,yes,no,no,yes,yes,yes
Araucaria_bernieri,no,no,no,no,no,no
Araucaria_bidwillii,yes,no,no,no,yes,no
Araucaria_biramulata,no,no,no,no,no,no
Araucaria_columnaris,no,no,no,no,no,no
Araucaria_cunninghamii,no,no,no,no,no,no
Araucaria_heterophylla,no,no,no,no,no,no
Araucaria_humboldtensis,no,no,no,no,no,no
Araucaria_hunsteinii,no,no,no,no,no,no
Araucaria_laubenfelsii,yes,no,no,no,yes,no
Araucaria_luxurians,no,no,no,no,no,no
Araucaria_montana,yes,no,no,no,yes,no
Araucaria_muelleri,no,no,no,no,no,no
Araucaria_nemorosa,no,no,no,no,no,no
Araucaria_rulei,no,no,no,no,no,no
Araucaria_schmidii,no,no,no,no,no,no
Araucaria_scopulorum,no,no,no,no,no,no
Araucaria_subulata,no,no,no,no,no,no
