generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hesperocyparis_abramsiana,Abies_holophylla,0,0.032,0,0.005,0
100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.174712,1.50898e-05,0.167024,0
200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.163575,0.00203676,0.21453,0
200000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.691,0.175082,-0.00173026,0.104025,0
200000,Hesperocyparis_abramsiana,Podocarpus_nakaii,22.6708,0.093378,0.00010192,0.0912562,0
300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.214302,0.00126292,0.256543,0
300000,Hesperocyparis_abramsiana,Juniperus_angosturana,269.212,0.233295,-0.00162265,0.164066,0
300000,Hesperocyparis_abramsiana,Podocarpus_nakaii,32.1187,0.0829228,9.88755e-05,0.0709405,0
400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.233203,9.00967e-05,0.230087,0
400000,Hesperocyparis_abramsiana,Podocarpus_nakaii,13.7395,0.161162,-0.00115811,0.115119,0
500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.205732,-0.000409209,0.183595,0
600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.1486,0.00119485,0.167508,0
600000,Hesperocyparis_abramsiana,Podocarpus_nakaii,25.4448,0.128474,-0.000548036,0.108016,0
700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.144888,0.00113417,0.163265,0
700000,Hesperocyparis_abramsiana,Calocedrus_rupestris,247.603,0.271335,3.3026e-05,0.221739,0
700000,Hesperocyparis_abramsiana,Podocarpus_nakaii,7.14042,0.095868,-0.000294881,0.0813177,0
800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.177538,0.000756735,0.18725,0
800000,Hesperocyparis_abramsiana,Juniperus_angosturana,261.084,0.221702,0.00077492,0.164673,0
800000,Metasequoia_glyptostroboides,NA,284.806,0.017757,0.00718913,0.0398365,0
800000,Podocarpus_nakaii,Afrocarpus_dawei,231.439,0.10878,0.00337115,0.0717658,0
800000,Microcachrys_tetragona,NA,303.49,0.0161428,-0.00363218,0.145449,0
800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,28.8064,0.0730028,-0.000671148,0.0605818,0
900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.144867,0.00319026,0.195291,0
900000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.637,0.254521,0.000302145,0.202019,0
900000,Podocarpus_nakaii,Dacrydium_guillauminii,217.621,0.0726207,0.00296256,0.0185836,0
900000,Pherosphaera_hookeriana,NA,301.432,0.00328242,0.00419839,0.0196287,0
900000,Hesperocyparis_abramsiana,Podocarpus_nakaii,13.597,0.081576,-0.000986373,0.0616616,0
1000000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.135562,0.00227582,0.181337,0
1000000,Hesperocyparis_abramsiana,Podocarpus_nakaii,26.0331,0.160305,-0.000717518,0.129418,0
1100000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.136128,0.00237998,0.184985,0
1100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,30.6947,0.129226,-0.000500087,0.10853,0
1200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.13618,0.00499256,0.209556,0
1200000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.509,0.1825,0.00293158,0.14147,0
1200000,Dacrydium_guillauminii,Dacrycarpus_kinabaluensis,228.58,0.0408906,0.000326242,0.00361969,0
1200000,Podocarpus_nakaii,Dacrydium_guillauminii,213.826,0.0435787,0.00794246,0.0102542,0
1200000,Araucaria_columnaris,Araucaria_muelleri,304.385,0.23219,-0.00582079,0.0697537,0
1200000,Hesperocyparis_abramsiana,Podocarpus_nakaii,12.4422,0.0802633,-0.00125155,0.0566378,0
1300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.112637,0.00461086,0.174173,0
1300000,Hesperocyparis_abramsiana,Juniperus_angosturana,255.745,0.145338,0.00381101,0.0956768,0
1300000,Sciadopitys_verticillata,NA,86.1635,0.00238716,-0.000627928,0.0082251,0
1300000,Hesperocyparis_abramsiana,Podocarpus_nakaii,21.3838,0.100866,-0.000667388,0.0740661,0
1400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0849012,-0.00126329,0.0520213,0
1400000,Hesperocyparis_abramsiana,Juniperus_angosturana,264.548,0.227908,-0.00113805,0.155413,0
1400000,Podocarpus_nakaii,Dacrydium_guillauminii,217.263,0.0734458,0.00678931,0.0516764,0
1400000,Abies_holophylla,Pinus_glabra,36.1858,0.251251,0.000380556,0.26035,0
1500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.123085,-0.0012424,0.0899518,0
1500000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.91,0.194312,-0.00294429,0.119101,0
1500000,Podocarpus_nakaii,Dacrydium_guillauminii,217.769,0.096049,-0.00176738,0.0130796,0
1500000,Abies_holophylla,Pinus_glabra,119.198,0.235184,-3.05714e-05,0.223148,0
1600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.197252,0.000999265,0.222326,0
1600000,Hesperocyparis_abramsiana,Juniperus_angosturana,261.028,0.237079,-0.00253657,0.156814,0
1600000,Dacrydium_guillauminii,Dacrydium_cupressinum,271.594,0.0871755,0.00364478,0.0320078,0
1600000,Podocarpus_nakaii,Dacrydium_guillauminii,208.555,0.0652455,0.00147975,0.0016495,0
1600000,Hesperocyparis_abramsiana,Podocarpus_nakaii,16.6289,0.0724306,-0.00117597,0.0464798,0
1700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.2339,0.000300754,0.237267,0
1700000,Hesperocyparis_abramsiana,Calocedrus_rupestris,247.65,0.142447,0.005558,0.123189,0
1700000,Podocarpus_nakaii,Dacrydium_guillauminii,217.51,0.0732173,-0.000191701,0.0263962,0
1700000,Hesperocyparis_abramsiana,Podocarpus_nakaii,20.3011,0.0799958,-0.00174828,0.0513502,0
1800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.177693,0.00102404,0.205473,0
1800000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.298,0.237262,-0.00144732,0.169258,0
1800000,Podocarpus_nakaii,Dacrydium_guillauminii,215.029,0.0681181,0.00600098,0.0407486,0
1800000,Prumnopitys_andina,Sundacarpus_amarus,251.202,0.0118133,0.000127356,0.01878,0
1800000,Araucaria_columnaris,Araucaria_cunninghamii,255.259,0.218002,0.00243361,0.227523,0
1800000,Agathis_montana,Agathis_australis,270.262,0.172302,-0.00123404,0.085943,0
1800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,30.8624,0.0869328,-0.00250642,0.0483854,0
1900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0560674,0.00022419,0.0498638,0
1900000,Hesperocyparis_abramsiana,Juniperus_angosturana,259.755,0.180138,-0.000190515,0.124324,0
