generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,7.1673,-2378.88,1,0
100000,0,4.09798,-2150.44,0.695463,0.145099
200000,0,4.9386,-2151.23,0.125761,0.151019
300000,0,3.74152,-2152.26,0.804838,0.148733
400000,3,21.0142,-2110.4,0.898162,0.227465
500000,0,4.75629,-2150.54,0.0778116,0.148113
600000,2,14.1756,-2124.95,0.87015,0.220835
700000,2,11.5129,-2118.29,2.14826,0.20752
800000,3,19.273,-2133.83,2.28427,0.207474
900000,1,9.14102,-2134.28,1.15457,0.201405
1000000,1,9.47563,-2135.15,0.8101,0.28215
1100000,1,8.0482,-2133.17,1.61983,0.28666
1200000,1,7.91261,-2131.96,0.433367,0.28978
1300000,2,14.4478,-2125.15,1.12101,0.22847
1400000,7,45.1866,-2096.66,3.40109,0.270845
1500000,3,19.9662,-2115.59,2.47676,0.21724
1600000,2,13.1304,-2117.54,1.88965,0.244032
1700000,2,14.2973,-2120.84,1.16664,0.21821
1800000,5,31.6521,-2102.71,2.67059,0.34072
1900000,7,39.1664,-2082.42,4.54232,0.31658
2000000,4,29.2598,-2116.84,1.90563,0.27021
2100000,8,47.1794,-2097.18,3.79131,0.305735
2200000,4,24.2094,-2108.89,1.46146,0.268018
2300000,4,29.2337,-2112.05,0.760384,0.291113
2400000,5,33.5589,-2104.41,3.51644,0.29747
2500000,2,12.0775,-2131.62,3.68516,0.235275
2600000,3,19.9557,-2109.96,2.7865,0.307234
2700000,6,37.4746,-2095.84,4.31214,0.326667
2800000,4,27.1411,-2108.53,1.42945,0.258734
2900000,3,21.693,-2116.17,2.03291,0.2644
3000000,4,29.0165,-2115.21,1.14003,0.29197
3100000,4,25.38,-2122.67,2.52191,0.243176
3200000,4,26.6102,-2125.46,3.7817,0.25879
3300000,14,93.5855,-2094.84,10.2739,0.313863
3400000,7,42.8311,-2093.17,1.88572,0.33586
3500000,9,60.1341,-2112.03,5.47234,0.34835
3600000,4,26.3614,-2119.57,1.28045,0.332652
3700000,5,31.6136,-2109.67,3.03498,0.29966
3800000,4,21.8297,-2111.81,2.01748,0.242757
3900000,4,26.5409,-2107.89,2.30467,0.25593
4000000,2,12.1949,-2118.67,1.33814,0.293346
4100000,3,19.9533,-2109.57,1.03232,0.262695
4200000,7,39.6962,-2094.44,3.67538,0.33367
4300000,5,33.7799,-2109.08,1.28038,0.259385
4400000,3,17.3514,-2108.02,2.78751,0.247383
4500000,4,21.8461,-2107.85,2.28008,0.258246
4600000,3,20.2129,-2110.65,1.75073,0.244067
4700000,3,19.1416,-2112.77,1.74943,0.2415
4800000,4,26.4734,-2104.96,2.26737,0.256473
4900000,4,21.6497,-2102.58,3.11232,0.261715
5000000,4,24.1621,-2108.76,2.45963,0.274162
5100000,4,27.7331,-2104.05,1.97357,0.255143
5200000,5,31.8655,-2109.3,2.38463,0.23495
5300000,5,25.6453,-2113.65,4.13078,0.261151
5400000,3,20.354,-2110.42,1.12917,0.240034
5500000,5,30.1954,-2100.49,2.91935,0.25719
5600000,5,29.3948,-2102.77,1.92658,0.256415
5700000,3,20.0299,-2112.5,1.56559,0.245577
5800000,5,29.0973,-2106.76,3.35652,0.292413
5900000,6,39.4354,-2102.77,2.93863,0.24671
6000000,3,18.9336,-2109.6,1.90533,0.254325
6100000,5,33.2959,-2117.28,2.33582,0.271435
6200000,3,15.4998,-2109.63,2.81678,0.24607
6300000,5,30.4911,-2110.29,2.54688,0.249758
6400000,5,31.1423,-2121.08,3.99409,0.28464
6500000,6,38.9318,-2092.19,6.48128,0.299883
6600000,2,10.4517,-2117.18,1.81411,0.208255
6700000,3,16.4933,-2107.98,4.33149,0.258685
6800000,2,12.5344,-2115.65,1.68518,0.259543
6900000,2,12.1808,-2115.46,0.75313,0.19581
7000000,3,20.505,-2110.48,1.19709,0.292977
7100000,2,12.443,-2119.23,1.8317,0.19567
7200000,4,24.9203,-2113.02,2.05858,0.24927
7300000,4,27.2491,-2112.21,2.51074,0.256557
7400000,4,25.3653,-2112.74,1.77191,0.238349
7500000,4,19.5708,-2110.56,3.21222,0.22
7600000,3,17.0921,-2108.44,3.08489,0.229948
7700000,4,25.0325,-2116.94,1.97721,0.251916
7800000,6,33.0973,-2108.83,2.86555,0.254705
7900000,4,29.5536,-2113.72,1.24209,0.258437
8000000,5,29.5253,-2102.25,2.84038,0.24466
8100000,3,20.4868,-2118.66,1.23372,0.25429
8200000,4,24.4532,-2109.6,2.5045,0.26009
8300000,2,9.87478,-2117.44,1.9285,0.216987
8400000,3,21.1754,-2116.09,1.02508,0.25645
8500000,2,7.19833,-2119.57,5.04479,0.24968
8600000,5,28.6433,-2107.53,5.97867,0.19347
8700000,5,28.5442,-2103.02,2.53662,0.249708
8800000,7,42.981,-2104.66,2.46699,0.25051
8900000,6,33.4329,-2088.18,2.9084,0.31564
9000000,3,19.6315,-2106.8,3.19695,0.26513
9100000,3,21.0689,-2114.85,1.2928,0.24823
9200000,4,27.8473,-2116.52,2.18401,0.256812
9300000,4,20.9923,-2106.94,4.1708,0.33664
9400000,3,17.3078,-2106.29,2.68033,0.25854
9500000,3,18.1541,-2114.6,1.61562,0.240867
9600000,3,21.2959,-2119.93,3.76579,0.25445
9700000,3,19.6286,-2108.1,1.29339,0.26642
9800000,3,22.6545,-2118.26,1.12194,0.262682
9900000,2,15.0879,-2118.35,0.335296,0.245227
10000000,2,11.7274,-2116.8,3.32984,0.20937
10100000,3,21.1741,-2122.65,1.41165,0.295957
10200000,3,16.698,-2112.1,4.02962,0.220754
10300000,5,28.9646,-2117.62,2.62188,0.235257
10400000,4,19.9717,-2106.45,1.97484,0.27309
10500000,3,17.6098,-2118.85,1.21353,0.238893
10600000,3,18.0694,-2109.19,1.76756,0.249215
10700000,4,24.3493,-2109.67,1.3531,0.25815
10800000,3,19.0063,-2110.05,1.74773,0.24373
10900000,6,36.272,-2110.61,5.19094,0.26945
11000000,1,9.02992,-2136.46,1.16004,0.260787
11100000,2,13.972,-2117.63,0.829638,0.211613
11200000,4,27.8459,-2119.75,2.28164,0.31106
11300000,1,8.58056,-2133.84,1.09398,0.283317
11400000,2,14.3632,-2131.06,2.7462,0.28948
11500000,3,19.2318,-2110.84,4.23708,0.247127
11600000,4,25.3971,-2107.2,2.02841,0.298635
11700000,3,19.1659,-2109.87,0.971617,0.23773
11800000,3,18.5209,-2107.64,1.98731,0.25564
11900000,3,19.0829,-2111.11,3.09049,0.25327
12000000,3,20.791,-2111.81,2.97429,0.23862
12100000,1,8.42666,-2135.07,1.98721,0.287286
12200000,2,13.2643,-2136.52,1.57645,0.26857
12300000,3,16.5029,-2109.23,5.04008,0.244128
12400000,2,13.1421,-2116.65,0.414981,0.26764
12500000,2,13.613,-2128.74,1.65132,0.15489
12600000,3,16.1479,-2121.89,2.55199,0.2451
12700000,4,23.0785,-2103.43,5.4707,0.233915
12800000,2,13.8566,-2124.68,0.685534,0.22605
12900000,3,21.6248,-2108.93,1.2901,0.22242
13000000,2,11.6081,-2115.33,3.02203,0.20876
13100000,7,43.7633,-2096.89,4.91675,0.211309
13200000,7,39.9044,-2089.28,4.94863,0.31654
13300000,4,21.9423,-2107.44,3.57182,0.252752
13400000,7,46.9153,-2095.96,3.18708,0.321575
13500000,4,24.5171,-2111.78,2.9038,0.26891
13600000,5,28.0246,-2106.28,4.89748,0.29148
13700000,3,16.2535,-2115.39,1.53368,0.21459
13800000,2,12.3638,-2114.72,0.701932,0.245179
13900000,4,23.6324,-2101.96,2.16723,0.260762
14000000,5,32.1875,-2111.4,2.7516,0.258101
14100000,2,14.78,-2134.49,1.46805,0.255233
14200000,3,21.4636,-2108.77,1.03937,0.25061
14300000,3,18.3554,-2110.97,2.26,0.19738
14400000,1,10.3758,-2135.16,0.263076,0.287313
14500000,4,25.1623,-2108.54,2.83156,0.254978
14600000,3,19.1921,-2114.33,1.14568,0.225588
14700000,1,8.99275,-2136.06,1.49353,0.291343
14800000,5,36.6285,-2108.64,1.23996,0.295267
14900000,4,26.9085,-2114.84,4.33843,0.34353
15000000,4,21.4333,-2109.97,1.12068,0.18638
15100000,4,26.1458,-2121.03,2.24629,0.28953
15200000,4,27.5277,-2106.76,2.01572,0.29616
15300000,4,27.0146,-2110.17,3.84748,0.238804
15400000,1,9.22416,-2134.5,0.598946,0.286006
15500000,3,21.4868,-2112,1.65297,0.270015
15600000,1,8.35261,-2132.85,0.669186,0.291345
15700000,3,20.8001,-2128.1,1.10867,0.290246
15800000,6,33.6027,-2115.31,5.17183,0.28437
15900000,4,22.9489,-2107.78,1.04002,0.225973
16000000,3,20.9945,-2114.61,1.77679,0.209313
16100000,3,21.7792,-2121.38,0.310815,0.206987
16200000,2,11.2281,-2119.79,5.2158,0.23245
16300000,3,20.1444,-2107.09,1.21254,0.23209
16400000,5,31.321,-2099.73,3.5464,0.30435
16500000,4,22.6502,-2119.85,2.44698,0.306251
16600000,8,51.4595,-2104.12,2.66308,0.31349
16700000,4,28.098,-2114.53,1.51756,0.2932
16800000,3,19.9061,-2123.53,2.23706,0.236002
16900000,3,20.4061,-2111.54,2.46527,0.25191
17000000,5,30.4475,-2105.72,4.63303,0.311225
17100000,4,25.905,-2115.57,3.00913,0.2685
