Species_pee,Bark,Ser,Grass,Resprout,Pyrophilic,More
Abies_alba,0,0,0,0,0,0
Abies_amabilis,0,0,0,0,0,0
Abies_balsamea,0,0,0,0,0,0
Abies_beshanzuensis,0,0,0,0,0,0
Abies_bifolia,0,0,0,0,0,0
Abies_borisii_regis,0,0,0,0,0,0
Abies_bracteata,0,0,0,0,0,0
Abies_cephalonica,0,0,0,0,0,0
Abies_chengii,0,0,0,0,0,0
Abies_chensiensis,0,0,0,0,0,0
Abies_cilicica,0,0,0,0,0,0
Abies_concolor,0,0,0,0,0,0
Abies_delavayi,0,0,0,0,0,0
Abies_densa,0,0,0,0,0,0
Abies_durangensis,0,0,0,0,0,0
Abies_ernestii,0,0,0,0,0,0
Abies_fabri,0,0,0,0,0,0
Abies_fanjingshanensis,0,0,0,0,0,0
Abies_fansipanensis,0,0,0,0,0,0
Abies_fargesii,0,0,0,0,0,0
Abies_ferreana,0,0,0,0,0,0
Abies_firma,0,0,0,0,0,0
Abies_flinckii,0,0,0,0,0,0
Abies_forrestii,0,0,0,0,0,0
Abies_fraseri,0,0,0,0,0,0
Abies_georgei,0,0,0,0,0,0
Abies_grandis,0,0,0,0,0,0
Abies_guatemalensis,0,0,0,0,0,0
Abies_hickelii,0,0,0,0,0,0
Abies_hidalgensis,0,0,0,0,0,0
Abies_holophylla,0,0,0,0,0,0
Abies_homolepis,0,0,0,0,0,0
Abies_kawakamii,0,0,0,0,0,0
Abies_koreana,0,0,0,0,0,0
Abies_lasiocarpa,0,0,0,0,0,0
Abies_magnifica,1,0,0,0,1,0
Abies_mariesii,0,0,0,0,0,0
Abies_nebrodensis,0,0,0,0,0,0
Abies_nephrolepis,0,0,0,0,0,0
Abies_nordmanniana,0,0,0,0,0,0
Abies_nukiangensis,0,0,0,0,0,0
Abies_numidica,0,0,0,0,0,0
Abies_pindrow,0,0,0,0,0,0
Abies_pinsapo,0,0,0,0,0,0
Abies_procera,0,0,0,0,0,0
Abies_recurvata,0,0,0,0,0,0
Abies_religiosa,0,0,0,0,0,0
Abies_sachalinensis,0,0,0,0,0,0
Abies_sibirica,0,0,0,0,0,0
Abies_spectabilis,0,0,0,0,0,0
Abies_squamata,0,0,0,0,0,0
Abies_veitchii,0,0,0,0,0,0
Abies_vejarii,0,0,0,0,0,0
Abies_yuanbaoshanensis,0,0,0,0,0,0
Abies_ziyuanensis,0,0,0,0,0,0
Acmopyle_pancheri,0,0,0,0,0,0
Acmopyle_sahniana,0,0,0,0,0,0
Actinostrobus_acuminatus,0,1,0,1,1,1
Actinostrobus_arenarius,0,1,0,0,1,0
Actinostrobus_pyramidalis,0,1,0,0,1,0
Afrocarpus_dawei,0,0,0,0,0,0
Afrocarpus_falcatus,0,0,0,0,0,0
