Species_pee,Bark,Ser,Grass,Resprout,Pyrophillic,More_than_one_adaptation,Citation
Pinus_canariensis,1,1,0,1,1,1,Climent et al. 2004
Pinus_elliottii,1,0,1,1,1,1,FEIS 1990+; Meyers and Rodriguez Trejo CH 20
Pinus_hartwegii,1,0,1,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_leiophylla,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_oocarpa,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003: Ch 20 Tropic
Pinus_patula,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_pringlei,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_pseudostrobus,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_rigida,1,1,0,1,1,1,FEIS 1990+
Pinus_teocote,1,1,0,1,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_tropicalis,1,0,1,1,1,1,Meyers and Rodriguez Trejo CH 20
Actinostrobus_acuminatus,0,1,0,1,1,1,Ladd et al. 2013
Halocarpus_bidwillii,1,0,0,1,1,1,McGlone et al. 2017
Juniperus_deppeana,1,0,0,1,1,1,FEIS 1990+
Pinus_brutia,1,1,0,0,1,1,Tapias et al. 2004; Turck 2011
Pinus_caribaea,1,0,0,1,1,1,rodriguez-trejo and fule 2003
Pinus_coulteri,1,1,0,0,1,1,Rodriguez-Trejo and Fule 2003; FEIS 1990+ 
Pinus_devoniana,1,0,1,0,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_echinata,1,0,0,1,1,1,FEIS 1990+
Pinus_engelmannii,1,0,1,0,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_greggii,1,1,0,0,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_jaliscana,1,1,0,0,1,1,rodriguez-trejo and fule 2003
Pinus_latteri,1,0,1,0,1,1,Thomas 2019. 
Pinus_lumholtzii,1,0,0,1,1,1,Perry 1991
Pinus_merkusii,1,0,1,0,1,1,Koskela et al. 1995
Pinus_montezumae,1,0,1,0,1,1,Rodriguez-Trejo and Fule 2003 
Pinus_muricata,1,1,0,0,1,1,FEIS 1990+
Pinus_palustris,1,0,1,0,1,1,FEIS 1990+
Pinus_pinaster,1,1,0,0,1,1,Tapias et al. 2004
Pinus_pungens,1,1,0,0,1,1,FEIS 1990+
Pinus_serotina,0,1,0,1,1,1,FEIS 1990+
Pinus_yunnanensis,0,1,0,1,1,1,Pausas et al. 2021
Pseudotsuga_macrocarpa,1,0,0,1,1,1,FEIS 1990+
Sequoia_sempervirens,1,0,0,1,1,1,FEIS 1990+
Sequoiadendron_giganteum,1,1,0,0,1,1,FEIS 1990+
Widdringtonia_nodiflora,0,1,0,1,1,1,Farjon 2017; Ladd 2013
Abies_magnifica,1,0,0,0,1,0,FEIS 1990+
Actinostrobus_arenarius,0,1,0,0,1,0,Ladd et al. 2013
Actinostrobus_pyramidalis,0,1,0,0,1,0,Ladd et al. 2013
Agathis_ovata,1,0,0,0,1,0,Enright and Goldblum 1998
Araucaria_angustifolia,1,0,0,0,1,0,Ntima 1968
Araucaria_araucana,1,0,0,0,1,0,Veblen 1982
Araucaria_bidwillii,1,0,0,0,1,0,Huth and Holzworth 2005
Araucaria_laubenfelsii,1,0,0,0,1,0,Rigg 2005
Araucaria_montana,1,0,0,0,1,0,Rigg 2005
Callitris_canescens,0,1,0,0,1,0,Ladd et al 2013
Callitris_drummondii,0,1,0,0,1,0,Ladd et al 2013
Callitris_macleayana,0,1,0,0,1,0,Ladd et al 2013
Callitris_muelleri,0,1,0,0,1,0,Ladd et al 2013
Callitris_preissii,0,1,0,0,1,0,Ladd et al 2013
Callitris_rhomboidea,0,1,0,0,1,0,Ladd et al 2013
Callitris_verrucosa,0,1,0,0,1,0,Ladd et al 2013
Calocedrus_decurrens,1,0,0,0,1,0,FEIS 1990+
Cedrus_atlantica,1,0,0,0,1,0,Slimani et al. 2014
Chamaecyparis_lawsoniana,1,0,0,0,1,0,FEIS 1990+
Cupressus_sempervirens,0,1,0,0,1,0,Earle 1997+;
Dacrycarpus_compactus,1,0,0,0,1,0,corlet 1987; Earle 1997+
Fitzroya_cupressoides,1,0,0,0,1,0,Veblen et al 2006 
Hesperocyparis_abramsiana,0,1,0,0,1,0,FEIS 1990+ Goveana
Hesperocyparis_arizonica,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_bakeri,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_benthamii,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_forbesii,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_glabra,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_goveniana,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_guadalupensis,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_lusitanica,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_macnabiana,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_macrocarpa,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_montana,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_nevadensis,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_sargentii,0,1,0,0,1,0,FEIS 1990+
Hesperocyparis_stephensonii,0,1,0,0,1,0,FEIS 1990+
Juniperus_oxycedrus,0,0,0,1,1,0,Quevedo et al 2007
Juniperus_pinchotii,0,0,0,1,1,0,FEIS 1990+; Farjon 2017
Larix_gmelinii,1,0,0,0,1,0,Wang et al. 2001 Abaimov 1998.
Larix_occidentalis,1,0,0,0,1,0,FEIS 1990+
Picea_mariana,0,1,0,0,1,0,FEIS 1990+
Pinus_arizonica,1,0,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_attenuata,0,1,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_ayacahuite,1,0,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_banksiana,0,1,0,0,1,0,FEIS 1990+ 1990
Pinus_chiapensis,1,0,0,0,1,0,Perry 1991
Pinus_clausa,0,1,0,0,1,0,FEIS 1990+
Pinus_contorta,0,1,0,0,1,0,FEIS 1990+
Pinus_cooperi,1,0,0,0,1,0,Earle 1997+ arizonica
Pinus_cubensis,1,0,0,0,1,0,Earle 1997+
Pinus_douglasiana,1,0,0,0,1,0,Perry 1991
Pinus_durangensis,1,0,0,0,1,0,Perry 1991
Pinus_fragilissima,1,0,0,0,1,0,Businsky 2003 
Pinus_halepensis,0,1,0,0,1,0,Tapias et al. 2004
Pinus_heldreichii,1,0,0,0,1,0,Vasileva and Panayotov 2015
Pinus_herrerae,1,0,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_jeffreyi,1,0,0,0,1,0,FEIS 1990+
Pinus_kesiya,1,0,0,0,1,0,Earle 1997+
Pinus_lambertiana,1,0,0,0,1,0,FEIS 1990+
Pinus_lawsonii,1,0,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_massoniana,1,0,0,0,1,0,Farjon 2017
Pinus_maximinoi,1,0,0,0,1,0,perry 1991
Pinus_monticola,1,0,0,0,1,0,FEIS 1990+
Pinus_nigra,1,0,0,0,1,0,Fernandes et al. 2008
Pinus_occidentalis,1,0,0,0,1,0,Martin and Fahey 2006
Pinus_pinea,1,0,0,0,1,0,Tapias et al. 2004
Pinus_ponderosa,1,0,0,0,1,0,FEIS 1990+
Pinus_praetermissa,0,1,0,0,1,0,Rodriguez-Trejo and Fule 2003 
Pinus_radiata,0,1,0,0,1,0,FEIS 1990+
Pinus_resinosa,1,0,0,0,1,0,Heinselmann 1996
Pinus_roxburghii,1,0,0,0,1,0,Wakimoto 2010; Turck 2015
Pinus_sabiniana,1,0,0,0,1,0,FEIS 1990+
Pinus_strobus,1,0,0,0,1,0,Heinselmann 1996
Pinus_sylvestris,1,0,0,0,1,0,FEIS 1990+
Pinus_taeda,1,0,0,0,1,0,FEIS 1990+
Pinus_tecunumanii,0,1,0,0,1,0,perry 1991
Pinus_torreyana,0,1,0,0,1,0,FEIS 1990+
Podocarpus_drouynianus,0,0,0,1,1,0,Ladd and Enright 2011
Podocarpus_elatus,1,0,0,0,1,0,Mellick 2012
